eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3
,,,,,,,,,,,,,,,0.004654302,18.88621254,,,30,-0.009494776,58.40248854,3.492401852,170.6345856,40
,,,,,,,,,,,,,,,0.004654302,15.66432219,,,30,-0.009494776,54.25378167,3.598519932,170.2418345,40
,,,,,,,,,,,,,,,0.004654302,12.44243183,,,30,-0.023643853,51.17834088,,,40
,,,,,,,,,,,,,,,0.000409579,8.839772618,,,30,-0.030718391,48.02967531,,,40
,,,,,,,,,,,,,,,0.01172884,6.633265889,,,30,-0.030718391,44.85660147,,,40
,,,,,,,,,,,,,,,,,,,,-0.023643853,41.51266981,,,40
,,,,,,,,,,,,,,,,,,,,-0.016569314,36.70424254,,,40
,,,,,,,,,,,,,,,,,,,,-0.009494776,33.60439349,,,40
,,,,,,,,,,,,,,,,,,,,-0.005250052,30.01637923,,,40
,,,,,,,,,,,,,,,,,,,,-0.020106584,26.42836497,,,40
,,,,,,,,,,,,,,,,,,,,0.009370661,63.87063622,,,40
,,,,,,,,,,,,,,,,,,,,-0.009494776,23.57259852,,,40
,,,,,,,,,,,,,,,,,,,,-0.007136596,19.52082731,,,40
,,,,,,,,,,,,,,,,,,,,-0.016569314,17.27526737,,,40
,,,,,,,,,,,,,,,,,,,,-0.016569314,14.05337701,,,40
,,,,,,,,,,,,,,,,,,,,-0.009494776,10.46536275,,,40
